Gene name,Gene stable ID,Gene type
CHRFAM7A,ENSG00000275917,protein_coding
MIR29C,ENSG00000284214,miRNA
MIR145,ENSG00000276365,miRNA
MIR4680,ENSG00000284482,miRNA
MIR612,ENSG00000283791,miRNA
MIR6872,ENSG00000283848,miRNA
MIR29B2,ENSG00000284203,miRNA
MIR6883,ENSG00000284117,miRNA
SNORA73A,ENSG00000274266,snoRNA
SCG5,ENSG00000277614,protein_coding
MIR6789,ENSG00000284129,miRNA
CCL4,ENSG00000277943,protein_coding
NUDT12,ENSG00000112874,protein_coding
C5orf30,ENSG00000181751,protein_coding
PGC,ENSG00000096088,protein_coding
PPIP5K2,ENSG00000145725,protein_coding
PLEKHH1,ENSG00000054690,protein_coding
MIR22,ENSG00000283824,miRNA
MIR675,ENSG00000284010,miRNA
MIR6773,ENSG00000284259,miRNA
GREM1,ENSG00000276886,protein_coding
POLD4,ENSG00000175482,protein_coding
SLC16A9,ENSG00000165449,protein_coding
LRRC32,ENSG00000137507,protein_coding
KDR,ENSG00000128052,protein_coding
SLC41A2,ENSG00000136052,protein_coding
SH2D2A,ENSG00000027869,protein_coding
GLT8D2,ENSG00000120820,protein_coding
CEBPB,ENSG00000172216,protein_coding
IGF1,ENSG00000017427,protein_coding
NR1H2,ENSG00000131408,protein_coding
KLHDC3,ENSG00000124702,protein_coding
CHPT1,ENSG00000111666,protein_coding
CHGA,ENSG00000276781,protein_coding
TMC4,ENSG00000277789,protein_coding
NAPEPLD,ENSG00000275723,protein_coding
SLC22A18,ENSG00000276130,protein_coding
SFRP4,ENSG00000106483,protein_coding
CPXM1,ENSG00000088882,protein_coding
MYL9,ENSG00000101335,protein_coding
DUOX2,ENSG00000140279,protein_coding
PPP1R18,ENSG00000234000,protein_coding
SRD5A3,ENSG00000128039,protein_coding
ZSCAN16,ENSG00000196812,protein_coding
PITPNA-AS1,ENSG00000236618,lncRNA
LILRB3,ENSG00000277816,protein_coding
SAPCD1-AS1,ENSG00000235663,lncRNA
BAG1,ENSG00000107262,protein_coding
SIDT2,ENSG00000149577,protein_coding
SERPINA1,ENSG00000277377,protein_coding
CCL2,ENSG00000108691,protein_coding
SCIN,ENSG00000006747,protein_coding
HLA-DPA1,ENSG00000206291,protein_coding
DIO2,ENSG00000211448,protein_coding
CCL8,ENSG00000108700,protein_coding
LAIR2,ENSG00000274084,protein_coding
JAM3,ENSG00000166086,protein_coding
TAGLN,ENSG00000149591,protein_coding
PLTP,ENSG00000100979,protein_coding
HOXA10,ENSG00000253293,protein_coding
DQX1,ENSG00000144045,protein_coding
PDGFA,ENSG00000197461,protein_coding
SAMD9,ENSG00000205413,protein_coding
SERPING1,ENSG00000149131,protein_coding
