Name	PValue	PFDR	up-regulation or down-regulation
ZDHHC11	4.16531E-07	1.54635E-07	down-regulation
ZDHHC11B	2.26747E-08	9.80364E-09	down-regulation
NEXN	3.00251E-16	3.25608E-16	up-regulation
SCIN	6.79073E-49	9.85924E-47	down-regulation
ERICH5	7.84087E-21	1.47003E-20	down-regulation
C15orf27	8.23931E-11	4.67354E-11	down-regulation
PRUNE2	1.82841E-21	3.64644E-21	up-regulation
SLAMF6	1.44763E-12	1.00698E-12	up-regulation
RHBDL2	8.83135E-36	1.17417E-34	down-regulation
BRSK1	1.01689E-12	7.19765E-13	up-regulation
HIPK1	3.44821E-72	1.25159E-68	up-regulation
ACVR1C	2.11519E-14	1.84554E-14	down-regulation
C6orf141	1.75613E-15	1.755E-15	down-regulation
TMEM163	1.42701E-23	3.65015E-23	down-regulation
RFX6	2.36109E-24	6.66404E-24	down-regulation
CEP170	8.32858E-38	1.59105E-36	up-regulation
CEP170P1	8.32858E-38	1.58272E-36	up-regulation
TLR4	4.7949E-14	4.00457E-14	up-regulation
CAPN13	5.01587E-25	1.54944E-24	down-regulation
ZSCAN4	1.15334E-06	4.0659E-07	down-regulation
AXDND1	6.69975E-12	4.32933E-12	down-regulation
NKX6-3	9.2027E-17	1.06855E-16	down-regulation
MMEL1	3.51755E-23	8.58611E-23	down-regulation
SYTL5	1.44017E-33	1.4052E-32	down-regulation
CD300LF	2.61911E-10	1.40007E-10	up-regulation
DSG2	7.1027E-18	9.31711E-18	down-regulation
PTK6	9.87063E-32	7.31165E-31	down-regulation
TAPT1-AS1	2.24096E-16	2.47383E-16	down-regulation
RASEF	6.40502E-22	1.34072E-21	down-regulation
CSF3R	2.6012E-24	7.30765E-24	up-regulation
KLHDC7A	2.64401E-15	2.58119E-15	down-regulation
CCDC125	2.85417E-30	1.72374E-29	down-regulation
TMEM171	5.88007E-14	4.86056E-14	down-regulation
FOXC1	5.28453E-20	8.9799E-20	up-regulation
TBC1D32	1.02025E-18	1.49987E-18	down-regulation
NKX2-3	2.41502E-14	2.09156E-14	down-regulation
ZBTB3	3.32916E-22	7.23145E-22	down-regulation
CTAGE5	1.5471E-25	5.10495E-25	down-regulation
MIA2	2.35655E-11	1.42796E-11	down-regulation
RHOB	2.20181E-53	6.14756E-51	up-regulation
LOC101928274	1.34486E-24	3.94296E-24	down-regulation
VSIG10	5.71215E-22	1.20682E-21	down-regulation
ARHGEF28	2.84042E-08	1.21492E-08	down-regulation
LLGL2	6.19094E-27	2.43193E-26	down-regulation
OSMR	1.64797E-35	2.12113E-34	up-regulation
GPNMB	7.50586E-17	8.83391E-17	up-regulation
BICD1	1.21024E-21	2.46231E-21	up-regulation
MYO10	7.16261E-21	1.34914E-20	down-regulation
SBDS	6.2014E-18	8.21797E-18	down-regulation
SBDSP1	6.2014E-18	8.21497E-18	down-regulation
