"","MKI67","PMEPA1","SOX9","BGN","IFI6","GPRC5A","SOX4","TIMP1","FKBP10","CDC25B","ARFGEF3","PLOD3","MET","SLC12A7","TYMP","BOP1","KPNA2","VAV2","HELZ2","RUNX1","LMNB2","LPCAT1","SH3KBP1","THEM6","RCC2","CAD","DNMT1","SLC1A5","TMEM63A","CHD7","ENTPD6","IRAK1","DKC1","PLXNA3","GTPBP4","NCAPD2","MFHAS1","PARP14","PDCD11","MTHFD2","MFSD12","ATP5PF","RAP1A","UBL3","PINK1","MXI1","GSN","CITED2","METTL7A","KAT2B","PER1","KLF4","SLC25A4","GPX3","FHL1","class"
"TCGA-D7-6519-01A",29369.9202424089,64401.8914179473,26772.3075988336,60114.5417735898,24502.6184918508,170783.723441768,37649.6315462416,141197.574142479,6173.26797489151,3774.7006220863,13493.5523376021,16947.4893256416,12883.5286407096,29243.9059576048,10474.9374243404,10686.8705396927,13174.2206840645,8861.09539054249,32581.8525244042,12538.4213380074,27545.5770737678,20094.9824847257,16830.0669238924,9753.21924773512,15400.9503757732,9075.89246691311,11507.3953714285,16152.7401430704,8636.27445060792,4721.23973862615,7187.11017536082,27671.5913585719,6730.30839294598,9302.14538735683,6108.82885198033,10547.9684303064,7443.43468649643,8016.2268901514,7606.68046453809,5465.86960337762,18539.8516518025,7314.55644067406,3826.25192041525,5726.49005604063,2759.42644110785,3088.78195820946,86540.3100892122,6796.1794963663,899.283759738314,1973.2691415914,1409.06882099124,6557.03875134035,8026.25075371537,5415.75028555781,1095.46508949014,"yes"
"TCGA-VQ-A925-01A",54314.05866901,10550.9898895098,26069.2923663698,13198.42309312,20215.5886177222,181879.248102033,11420.9446584123,22540.1641135751,10736.4863179668,7911.77488209711,16974.0972318386,12479.9179398564,14897.2416499377,34057.3790703005,3365.93835687378,11660.4463761669,16654.7616081658,8588.01502634521,13633.9874915854,10122.4696592137,10615.5614310613,13690.3408369394,12360.1670809791,12056.0938216731,20190.9340291299,13447.3170351002,13731.4318179267,14318.4458320309,14607.2567269702,6717.78837740906,12629.0194994389,24170.8890447567,12852.0848247985,10064.9422858315,3162.83150799371,17305.1731357934,5954.67015907353,16039.5709213846,9159.76667608275,11238.97031404,10336.1427603477,5330.08724806661,7924.6891904074,11709.7555533516,4475.39484353082,3084.17163010374,32548.7530540526,3404.68128180466,11850.6389167366,2531.20442881754,5924.14543034011,18737.4873302077,1810.35121949751,4380.29857324593,5986.36891583516,"yes"
"TCGA-BR-4357-01A",37094.5489228816,13208.9830614066,17217.3989738296,49030.0248454454,70134.7521676769,72370.6966688254,4037.64394511779,61032.3076998829,24881.4066897176,18315.5379165038,8012.65639160398,11384.3187346057,10106.6361625208,41021.5438870835,12305.0017644903,3361.22375989641,34825.2009557962,7734.99008100384,14641.1566634494,15419.8749631024,8831.04130705702,8943.77800459392,16609.873437103,7701.58661506698,24699.7753436859,6808.04390125601,12841.5449361011,8941.69028797286,40100.8608571989,6816.39476774023,12419.8261786483,9760.0752034259,8787.19925801489,9142.11108359401,10741.3020153211,26092.2823299287,6814.30705111917,19983.6234967257,5567.94022835013,11920.8619062164,6741.2369693823,6722.44751979281,9935.44339959441,5152.48462076045,4317.39797233899,4634.73089873914,21394.919932558,3774.59165086503,2315.27773274852,2711.94389074872,3490.66219040173,3123.22406509629,3615.92518766495,8705.7783097938,2413.40041393804,"yes"
"TCGA-D7-6527-01A",16062.9109481809,11967.5904294461,43252.9916495828,36468.3249669275,119387.195073923,25238.3272721449,6968.57050121747,40646.6988230775,17314.6433906527,12066.4634501785,15493.4023487625,27194.0356222312,6964.61558038818,8766.08201813197,14874.4572389778,7415.47655492779,17567.7583237276,6727.32033063049,12378.9021956928,14791.4039015626,15691.1483902272,15521.0867945675,5212.58565301057,11119.2599115624,21941.9007609277,6869.6974804851,7781.30673163756,80423.3150637102,40118.7168923667,2357.13281425971,13838.2679817026,31356.589795064,8247.98738949435,4854.66531795939,4801.27388676391,18752.2571121014,8263.80707281153,4206.05830195504,6157.81173121204,12193.0209167159,7632.997200539,12896.9968243304,5754.40980662396,6074.75839379684,5305.526292499,3197.55349048486,32104.0698318007,4603.52784529917,5008.90723030189,7298.80639046359,2940.4836365807,10359.9151123378,2252.3274122834,10684.21862034,5722.7704399896,"yes"
"TCGA-IN-A6RJ-01A",26547.223690997,5359.36761460945,11173.9143964871,23728.0494937229,139688.613155033,26862.9124682959,13435.127033884,45040.7127611356,1695.90947804765,4360.91008640824,2899.93179146676,2921.95658988296,4617.86606793061,4206.73649749482,53711.1417376476,10256.2144624786,15314.5764987333,4023.19651069312,26818.8628714635,10491.1456455848,17406.9323482726,2936.6397888271,2554.87661627957,10256.2144624786,33110.6136190255,18317.290682809,12627.5510919565,33418.9607968524,9478.00491843946,8024.36822297004,7679.31304778286,26708.7388793824,7730.70424408733,10968.3496112692,5300.63481883291,17355.5411519681,4067.24610752553,19227.6490173454,10990.3744096854,4882.16364892505,7855.51143511248,25886.4797385109,7693.99624672699,10755.4432265792,8494.23058918238,10109.3824730373,153402.720968855,16768.2131942027,9419.27212266291,10535.1952424172,16393.7916211273,41465.3538182386,2848.54059516228,31935.9577034947,4353.56848693617,"yes"
"TCGA-BR-8683-01A",24142.7133656431,36099.3573483202,28221.9765522796,45887.7323745115,18647.113025779,50671.1856626122,40783.3487576831,35340.7947531459,9519.16487440735,11198.0813875029,9112.0342507736,25861.4146302337,92419.9777232444,10871.8464252426,5608.32380243364,5674.63172159224,5577.82215962069,18017.1877937724,82501.6391755024,16604.8291156944,11936.7516069296,5427.96626232228,6020.75905960008,4676.03445906385,16132.7167312852,13361.0457104561,9854.68294534982,10797.581555785,30496.3381794193,10728.6213198601,23996.8359434942,24947.6915042284,6767.38622932582,15729.564582801,4324.60248752332,12920.7611272431,5092.44819137981,28420.9003097554,5427.96626232228,5323.1997500517,7662.5431379668,5061.94654856685,7384.04987750072,6197.13812456194,5258.21798927628,4970.441620128,77838.8663002702,5433.27089585496,3375.07308517229,2623.14128191387,3914.81954712323,11089.3364000828,1563.54073375958,3156.25695194894,11339.9803345023,"yes"
"TCGA-BR-8485-01A",34740.0276937121,16922.2369055837,30803.3220850262,41616.3060001952,8760.67293433748,24903.4462754842,44916.5879006839,26008.3773389016,11190.2774490189,20384.2160348652,11872.3080679013,10771.5230872734,13080.8912010576,16746.0283870275,7576.96629791848,8928.58928731461,16922.2369055837,8381.30635909286,24957.3453517484,13296.4875061147,20100.2093637805,7734.51744392171,6188.02856341632,6026.33133462353,24607.0013560307,17709.9926355999,8667.38607157241,21379.2759043593,19515.6116904527,15597.5634543197,11387.2163815229,13671.7079985697,8733.72339620535,7207.96492964776,9417.82705648253,31120.4974184274,5767.20116027612,11928.2801855603,8453.86280791014,7630.86537418274,7552.08980118113,7083.582445961,7056.63290782887,6569.46818005572,2158.03609196529,2454.48101141874,28050.3231127592,3864.14915986869,6648.24375305734,2178.76650591308,6457.52394473764,6876.27830648306,2058.53010501588,4535.81457177719,5785.85853282913,"yes"
"TCGA-BR-4279-01A",9042.05017889706,13977.6938129278,17833.187290224,175476.971779766,57306.0967006376,38622.2529130418,23270.657059395,447549.354743094,22716.8123614659,11205.4104078244,21502.0259245718,9045.11009435523,14075.6111075893,7756.88568646499,7949.6603603298,2429.57287378825,17313.0016623349,5605.76511937036,5155.95754701913,28463.3335919122,5327.31281267674,6272.82668925177,10584.2475698155,2726.38467323089,10572.0079079829,4140.06561490617,4843.84617028563,14029.7123757168,6958.2477518822,3733.09685896934,5780.18030048614,8693.2198166655,9920.2459153923,2215.37879171623,6664.49586789773,10039.582618261,11474.6829681435,12695.5892359539,5315.07315084406,13512.5866632858,4143.12553036434,29849.4752944639,37716.5179374231,27508.6399689626,4485.83606167956,8619.78184566938,120407.673279052,10783.1420745967,17499.6565052833,8855.39533594859,6903.16927363511,28934.5605724706,8472.90590367714,88988.4613545463,47303.2330678747,"yes"
"TCGA-D7-A6F0-01A",43994.3584120045,2937.44187154566,35883.7476943869,28633.1334295075,10103.6393067085,17877.9017184238,17570.5716977367,15191.0723100994,26088.7574213299,10238.1786290693,2463.91621735397,14579.0502946539,6584.51271789669,12433.0162017016,20910.3125234007,10850.2006445149,43971.935191611,17288.3029233718,9134.16477793161,16980.9729026847,24337.1082047099,14952.3309635571,17476.9217772699,9099.87044085923,27931.4185324881,21014.5145475822,12078.2017142989,23252.879548037,18162.8085187174,9064.25709082253,11173.3588207738,5510.83616493838,7054.08133319542,8026.19388790092,7924.6298896481,56948.3847346133,13341.8161341196,12698.1378075303,9822.68954530783,11553.2345544986,4604.67425844899,12543.8132907046,8006.40869343608,5468.62775008007,1985.11451130499,2275.29736345589,29973.2506012589,2784.43636768428,6453.93043442879,2073.48837991458,5254.94764985986,633.126222874682,2156.58619666689,5998.87096173761,1522.14096082788,"yes"
"TCGA-BR-A4J9-01A",5736.37272067526,20779.5703632304,21422.7132072277,98478.7244445337,22873.3896670063,30622.8283298793,16130.4839752321,155833.799505403,6829.42715060785,8112.82878997462,10872.8633267701,12516.7710446107,7446.61355695502,13301.2322713697,5145.14275197821,6797.70261570216,7527.36691853315,6114.18309091582,7515.83072402199,9393.34638071359,7879.22085112359,8003.23494211858,8672.33422376597,2999.4105729021,12710.0023026726,8383.92936098692,9084.75317754001,5926.71993010943,19729.7766627147,8779.04402299422,8049.37972016323,14218.3597350071,6209.3566956329,6569.86277410671,6988.04982513633,9932.66347411041,14798.0535091929,16678.4532145123,7729.25032247848,4715.41950643743,7680.22149580605,35897.7532701081,50828.4730161794,18325.2449809807,12115.8882853478,14325.0695342353,225754.674437555,18449.2590719757,27606.1134652105,11766.9184013852,32759.9083630721,2610.06400815038,32650.314515216,9456.79545052498,521190.847771156,"yes"
